Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5243003, Wayne County, MI",261635243003,1809,43936.716705095,465,465,14,,0,,0
"BG5091004, Wayne County, MI",261635091004,1804,82779.889466718,432,432,135,99.8555,0,0,0
"BG5424002, Wayne County, MI",261635424002,1804,44292.795890288,643,643,0,89.916,8.0432,0,0
"BG5426002, Wayne County, MI",261635426002,1800,56595.848033611,588,588,24,83.4798,0,0,11.775
"BG5413001, Wayne County, MI",261635413001,1799,51906.254780594,535,535,0,98.6696,0,0,0
"BG5234001, Wayne County, MI",261635234001,1794,47100.805146478,520,520,86,77.2554,1.5248,10.2922,6.7344
"BG5384002, Wayne County, MI",261635384002,1794,68911.6,872,872,19,76.5403,3.3175,0,2.4882
"BG5069001, Wayne County, MI",261635069001,1790,61215.719379463,468,468,21,94.2421,0,0,5.6404
"BG5009002, Wayne County, MI",261635009002,1786,37086.269630883,520,520,7,85.9929,0,0,6.383
"BG5362002, Wayne County, MI",261635362002,1783,30405.301522678,845,845,44,88.0992,0.9917,0,0
"BG5091003, Wayne County, MI",261635091003,1774,38407.481021615,559,559,149,93.9823,4.6018,0,0
"BG5392002, Wayne County, MI",261635392002,1773,24670.728623878,416,416,15,84.375,0,0,0
"BG5232002, Wayne County, MI",261635232002,1770,21323.937889518,378,378,112,73.6,7.2,0,0
"BG5429002, Wayne County, MI",261635429002,1766,85965.166346714,553,553,13,93.4579,0,0,5.6075
"BG5443002, Wayne County, MI",261635443002,1766,30695.393754334,643,643,154,40.4762,25.3247,1.0823,0
"BG5460002, Wayne County, MI",261635460002,1765,24915.963518435,704,704,51,90.7692,0,0,5.3846
"BG5459001, Wayne County, MI",261635459001,1742,39158.11734464,639,639,90,86.0622,4.3302,0,0.1353
"BG5401001, Wayne County, MI",261635401001,1734,26542.4,633,633,193,88.5768,2.9963,0,0
"BG5015003, Wayne County, MI",261635015003,1733,32603.2,557,557,145,84.1328,7.1956,0,0
"BG5461001, Wayne County, MI",261635461001,1731,33195.54764964,602,602,220,70.2317,4.9911,0,0
"BG5421002, Wayne County, MI",261635421002,1722,30373.237168523,847,847,352,96.1538,0,0,0
"BG5429003, Wayne County, MI",261635429003,1716,60911.159320976,707,707,11,71.8274,0,0,4.0609
"BG5143002, Wayne County, MI",261635143002,1712,22545.869939319,314,314,65,76.1421,23.3503,0,0
"BG5207002, Wayne County, MI",261635207002,1712,63384.262707909,1301,1301,335,63.1623,1.2417,1.0762,21.2748
"BG5160001, Wayne County, MI",261635160001,1703,43372.390225969,630,630,89,72.8933,8.9888,0,5.7584
"BG5466002, Wayne County, MI",261635466002,1692,40385.287340309,655,655,222,88.5073,0,0,0
"BG5258002, Wayne County, MI",261635258002,1687,35745.282543661,496,496,206,79.5745,12.3404,0,3.4043
"BG5441002, Wayne County, MI",261635441002,1677,30939.700044478,630,630,161,84.8522,6.2808,0,0
"BG5002002, Wayne County, MI",261635002002,1649,41981.004965972,776,776,0,76.9231,13.7255,9.3514,0
"BG5170001, Wayne County, MI",261635170001,1645,54919.509252099,1520,1520,230,59.8446,0.5181,3.2815,12.3489
"BG5368001, Wayne County, MI",261635368001,1634,24672.659321286,568,568,134,77.2973,5.6757,0,0
"BG5011001, Wayne County, MI",261635011001,1630,40545.617450897,532,532,0,80.8679,18.5404,0,0
"BG5396001, Wayne County, MI",261635396001,1626,55146.22716326,836,836,175,92.7651,1.6848,0,5.55
"BG5141001, Wayne County, MI",261635141001,1619,17224.790695343,799,799,482,85.2861,5.9946,0,0
"BG5208001, Wayne County, MI",261635208001,1619,86637.716344709,927,927,216,74.1187,5.503,1.7197,0.8598
"BG5402003, Wayne County, MI",261635402003,1611,29599.8,620,620,169,74.5794,21.6822,0,0
"BG5347001, Wayne County, MI",261635347001,1606,30093.667853283,628,628,49,88.9922,2.3256,0,0
"BG5020001, Wayne County, MI",261635020001,1598,35125.2,807,807,118,80.8599,9.4313,0,0
"BG5415002, Wayne County, MI",261635415002,1597,49309.755798746,759,759,129,70.2532,18.3544,0,0
"BG5242002, Wayne County, MI",261635242002,1595,53113.283370711,494,494,6,81.8082,0.6615,0,0
"BG5457002, Wayne County, MI",261635457002,1593,19744.171645524,570,570,58,65.4434,24.4648,0,7.9511
"BG5167002, Wayne County, MI",261635167002,1590,33300.615307079,629,629,330,92.0949,16.6008,,0
"BG5203003, Wayne County, MI",261635203003,1576,46494.157750416,254,254,8,39.3939,5.3613,0,35.3147
"BG5026002, Wayne County, MI",261635026002,1572,38157.124556691,613,613,9,47.2318,6.4014,0,0
"BG5051001, Wayne County, MI",261635051001,1572,13115.286600907,1119,1119,355,72.5907,19.2741,0,8.01
"BG5386001, Wayne County, MI",261635386001,1568,57845.492366435,570,570,25,57.2104,0,0,2.6005
"BG5412001, Wayne County, MI",261635412001,1562,27725.655707791,575,575,232,71.3924,27.3418,,2.5316
"BG5403001, Wayne County, MI",261635403001,1561,48026.090888754,531,531,119,87.3351,0,0,0.5277
"BG5395002, Wayne County, MI",261635395002,1556,76081.784860377,543,543,67,88.2854,7.4547,0,0
"BG5133002, Wayne County, MI",261635133002,1553,89243.298558137,660,660,49,82.4806,0,1.5504,1.8605
"BG5418002, Wayne County, MI",261635418002,1551,41217.952647509,466,466,0,88.218,1.7673,0,0
"BG5073001, Wayne County, MI",261635073001,1547,47048.617666209,578,578,67,92.7438,7.1429,0,0
"BG5342002, Wayne County, MI",261635342002,1547,31147.94356086,398,398,117,77.9747,21.0127,0,0
"BG5472001, Wayne County, MI",261635472001,1545,36480.56697657,566,566,147,89.9646,3.0697,0,0
"BG5246001, Wayne County, MI",261635246001,1528,15833.327213165,686,686,121,78.7975,14.7152,,8.8608
"BG5409003, Wayne County, MI",261635409003,1523,45547.2,578,578,86,88.9734,10.8365,0,0
"BG5324001, Wayne County, MI",261635324001,1522,28988.124008481,738,738,310,62.6316,7.0175,7.3684,0
"BG5369002, Wayne County, MI",261635369002,1516,40063.46905924,534,534,164,76.7857,15.8482,0,0
"BG5392001, Wayne County, MI",261635392001,1516,40954.465333686,726,726,280,60.3053,22.5191,0,13.3588
"BG5019001, Wayne County, MI",261635019001,1514,14392.7,383,383,59,81.0742,14.3223,2.5575,0
"BG5460001, Wayne County, MI",261635460001,1513,35513.123550785,538,538,75,67.2,7.8,0,0.8
"BG5106001, Wayne County, MI",261635106001,1511,15409.385808664,512,512,282,94.4186,5.1163,0,0
"BG5260001, Wayne County, MI",261635260001,1509,31618.644132386,371,371,109,70.1266,4.0506,0,13.9241
"BG5165002, Wayne County, MI",261635165002,1506,64220.079122188,1047,1047,180,78.2845,7.9262,2.9316,0
"BG5051003, Wayne County, MI",261635051003,1498,52371.974853652,567,567,164,63.6882,0,0,29.2776
"BG5219004, Wayne County, MI",261635219004,1490,92747.089970594,572,572,50,72.2222,3.7374,0,0
"BG5472004, Wayne County, MI",261635472004,1489,24519.094823874,949,949,239,91.5179,8.4821,0,0
"BG5069002, Wayne County, MI",261635069002,1479,43058.580785061,500,500,154,,0,,0
"BG5138001, Wayne County, MI",261635138001,1474,32299.207843447,613,613,357,82.7586,13.7931,0,0
"BG5383001, Wayne County, MI",261635383001,1474,53495.85339584,667,667,54,35.6551,6.9652,0,0
"BG5426001, Wayne County, MI",261635426001,1466,30540.4,614,614,224,93.1553,5.1753,0,0
